code,country,safe,employment,education,water,voter,long_hours
AUS,Australia,63.6,72,80,92,91,13.2
AUT,Austria,80.7,72,85,93,75,6.78
BEL,Belgium,70.7,62,75,84,89,4.31
CAN,Canada,80.9,73,91,91,68,3.73
CZE,Czech Republic,68.3,72,93,87,59,5.77
DNK,Denmark,83,75,81,94,86,2.2
FIN,Finland,82.9,69,88,94,69,3.91
FRA,France,69.6,65,78,82,75,7.76
DEU,Germany,75.9,75,86,93,72,4.6
GRC,Greece,61.8,52,72,69,64,7.3
HUN,Hungary,50.7,67,83,76,62,3.05
ISL,Iceland,87,86,78,99,79,15.06
IRL,Ireland,75.5,65,80,82,65,4.66
ITA,Italy,58.3,57,60,71,75,3.9
JPN,Japan,70.6,74,94,86,53,21.81
KOR,Korea,63.9,66,87,78,77,20.84
LUX,Luxembourg,72,66,79,85,91,3.76
MEX,Mexico,45.9,61,37,67,63,29.48
NLD,Netherlands,81.2,75,77,93,82,0.45
NZL,New Zealand,64.8,76,77,90,77,15.02
NOR,Norway,87.7,74,82,96,78,3.17
POL,Poland,66.3,65,91,80,55,6.68
PRT,Portugal,72.1,65,47,87,56,8.2
SVK,Slovak Republic,60.1,65,92,82,60,5.04
ESP,Spain,83.1,60,58,73,70,4.55
SWE,Sweden,75.9,76,83,95,86,1.11
CHE,Switzerland,84,80,87,96,49,6.91
TUR,Turkey,60.6,51,39,63,85,33.77
GBR,United Kingdom,77.4,74,81,85,69,12.68
USA,United States,74.1,69,90,84,68,11.45
BRA,Brazil,37.3,64,49,72,79,7.15
CHL,Chile,51.1,62,65,69,49,10.06
EST,Estonia,67.2,72,89,82,64,2.69
ISR,Israel,70.2,69,87,67,72,15.04
LVA,Latvia,60.7,69,89,77,59,2.09
RUS,Russia,52.2,70,95,54,65,0.16
SVN,Slovenia,84.7,66,87,89,52,4.46
ZAF,South Africa,36.1,43,43,69,73,18.68
