code,country,score
AUS,Australia,7.3
AUT,Austria,7.1
BEL,Belgium,6.9
CAN,Canada,7.4
CZE,Czech Republic,6.6
DNK,Denmark,7.5
FIN,Finland,7.4
FRA,France,6.4
DEU,Germany,7
GRC,Greece,5.6
HUN,Hungary,5.3
ISL,Iceland,7.5
IRL,Ireland,6.8
ITA,Italy,5.8
JPN,Japan,5.9
KOR,Korea,5.8
LUX,Luxembourg,6.7
MEX,Mexico,6.2
NLD,Netherlands,7.3
NZL,New Zealand,7.4
NOR,Norway,7.6
POL,Poland,6
PRT,Portugal,5.1
SVK,Slovak Republic,6.2
ESP,Spain,6.4
SWE,Sweden,7.3
CHE,Switzerland,7.6
TUR,Turkey,5.5
GBR,United Kingdom,6.5
USA,United States,6.9
BRA,Brazil,6.5
CHL,Chile,6.5
EST,Estonia,5.6
ISR,Israel,7.1
RUS,Russia,6
SVN,Slovenia,5.7
LVA,Latvia,5.9
ZAF,South Africa,4.9
